,PF-CLM-mn-swe,ASO-mn-swe,Bias,Biasp,RMSE
2016,514.8438117290135,448.4344482421875,66.40936348682601,14.809157447012206,168.28991173698554
2018a,422.3335181769583,413.0387878417969,9.294730335161432,2.2503286879491626,150.69179193900518
2018b,365.2246089771656,108.08843231201172,257.13617666515387,237.89426043565504,317.12606917415656
2019a,752.0420629732782,851.646728515625,-99.60466554234677,-11.695537857105657,428.0549937247629
2019b,747.4833094785815,544.956298828125,202.52701065045653,37.16389939633159,530.5010909829277
