,PF-CLM-mn-swe,ASO-mn-swe,Bias,Biasp,RMSE
2016,322.18424280143824,448.4344482421875,-126.25020544074926,-28.15354751082033,217.67791668307106
2018a,256.84592530684085,413.0387878417969,-156.19286253495602,-37.81554351132306,226.95791667090256
2018b,183.222723011888,108.08843231201172,75.13429069987629,69.51187013517885,183.5703943491131
2019a,448.7952630938986,851.646728515625,-402.8514654217264,-47.302649318441595,591.5471717989686
2019b,372.94556771389006,544.956298828125,-172.01073111423494,-31.56413302940568,571.9007643103125
