,PF-CLM-mn-swe,ASO-mn-swe,Bias,Biasp,RMSE
2016,529.3494647490598,448.4344482421875,80.91501650687235,18.043889541503802,174.05172135280154
2018a,438.99639151617697,413.0387878417969,25.957603674380096,6.284543834251818,152.80832840458964
2018b,401.9149704034155,108.08843231201172,293.8265380914038,271.83902273948627,341.3287939456304
2019a,765.8317172749522,851.646728515625,-85.81501124067279,-10.076362459613247,425.3322532259732
2019b,790.2556504406072,544.956298828125,245.29935161248216,45.01266471090881,559.9373885896
