,PF-CLM-mn-swe,ASO-mn-swe,Bias,Biasp,RMSE
2016,306.45576235578295,448.4344482421875,-141.97868588640455,-31.66096771622809,224.4630502951706
2018a,235.92893050453318,413.0387878417969,-177.1098573372637,-42.87971554988699,239.36746150306908
2018b,148.03084723139062,108.08843231201172,39.942414919378905,36.95345937119319,168.81477802460805
2019a,438.1418687421031,851.646728515625,-413.5048597735219,-48.55356639415957,599.0668283325049
2019b,341.3896025646682,544.956298828125,-203.56669626345678,-37.35468269679733,570.0625006534189
